Protein;Np;Young WT 1;Young WT 2;Old WT 1;Old WT 2;Ht pro 1;Ht pro 2;Hm pro 1;Hm pro 2;Mean z Young WT;Mean z Old WT;Mean z Ht pro;Mean z Hm pro;∆ mean z Old WT;∆ mean z Ht pro;∆ mean z Hm pro;P value Old WT;P value Ht pro;P value Hm pro;Change Old WT;Change Ht pro;Change Hm pro;Artifact
>sp|P47738|ALDH2_MOUSE Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1;21;-0.346655559;0.349896011;1.489225391;0.445535816;0.10743176;-0.058451459;0.190482866;-0.715128784;0.001620226;0.9673806035;0.0244901505;-0.262322959;0.9657603775;0.0228699245;-0.263943185;0.165986532233875;0.971870809135277;0.685825364202743;0;0;0;FALSE
>sp|Q2TBE6|P4K2A_MOUSE Phosphatidylinositol 4-kinase type 2-alpha OS=Mus musculus GN=Pi4k2a PE=1 SV=1;4;-0.660906377;0.673378352;1.120117438;0.8225958;0.486105455;0.354195483;-0.099106727;-0.693403535;0.00623598749999998;0.971356619;0.420150469;-0.396255131;0.9651206315;0.4139144815;-0.4024911185;0.160197837709726;0.522765739983565;0.533974647348275;0;0;0;FALSE
>tr|F7CTF8|F7CTF8_MOUSE Mitochondrial fission factor (Fragment) OS=Mus musculus GN=Mff PE=1 SV=1;3;0.865941069;-0.909796926;0.669723472;1.215362489;1.429345483;1.608380404;1.729517958;1.138094014;-0.0219279285;0.9425429805;1.5188629435;1.433805986;0.964470909;1.540790872;1.4557339145;0.209952321858122;0.0628195489868923;0.0752956560044763;0;0;0;FALSE
>sp|B2RWW0|TAGAP_MOUSE T-cell activation Rho GTPase-activating protein OS=Mus musculus GN=Tagap PE=2 SV=2;1;-0.414418951;0.455285969;1.242328835;0.727182999;0.349529986;0.391991953;1.241944962;0.520429314;0.020433509;0.984755917;0.3707609695;0.881187138;0.964322408;0.3503274605;0.860753629;0.136671669800455;0.561482021633651;0.177370807282364;0;0;0;FALSE
>tr|Q8K239|Q8K239_MOUSE Elongation factor Ts (Fragment) OS=Mus musculus GN=Tsfm PE=2 SV=1;1;0.617463061;-0.561394029;0.757724597;1.226988298;1.592674331;1.502348785;1.138277258;1.11981028;0.028034516;0.9923564475;1.547511558;1.129043769;0.9643219315;1.519477042;1.101009253;0.139279037119447;0.0336662299210692;0.0984196554548289;0;0;0;FALSE
>sp|Q9CQ60|6PGL_MOUSE 6-phosphogluconolactonase OS=Mus musculus GN=Pgls PE=1 SV=1;10;-0.535084577;0.513005737;1.265243112;0.641205483;-0.432943495;-0.197220727;1.929939763;0.641722033;-0.01103942;0.9532242975;-0.315082111;1.285830898;0.9642637175;-0.304042691;1.296870318;0.191308875389788;0.662642331642421;0.0924773667813959;0;0;0;FALSE
>sp|P0C0A3|CHMP6_MOUSE Charged multivesicular body protein 6 OS=Mus musculus GN=Chmp6 PE=1 SV=2;3;0.904377674;-1.06356829;0.406127929;1.362247304;0.330728006;0.810563114;-0.169342243;0.483802121;-0.079595308;0.8841876165;0.57064556;0.157229939;0.9637829245;0.650240868;0.236825247;0.253533219973968;0.429335300405421;0.76901246819072;0;0;0;FALSE
>tr|Q543B5|Q543B5_MOUSE Mitogen activated protein kinase kinase kinase 7, isoform CRA_a OS=Mus musculus GN=Map3k7 PE=1 SV=1;1;-0.047746107;0.095690852;1.539538627;0.43260408;0.271510457;0.255870532;1.845091269;-0.915535666;0.0239723725;0.9860713535;0.2636904945;0.4647778015;0.962098981;0.239718122;0.440805429;0.328249602040005;0.801165669209754;0.645119017106727;0;0;0;FALSE
>tr|G5E895|G5E895_MOUSE MCG142264, isoform CRA_b OS=Mus musculus GN=Akr1b10 PE=1 SV=1;3;0.623929302;-0.708921184;0.791748369;1.047055697;0.617116391;-0.54306917;-0.804772544;-0.483901622;-0.042495941;0.919402033;0.0370236105;-0.644337083;0.961897974;0.0795195515000001;-0.601841142;0.194951916927497;0.909178277554329;0.400150629857987;0;0;0;FALSE
>tr|Q61117|Q61117_MOUSE KRAB-containing zinc finger protein OS=Mus musculus GN=Zfp94 PE=2 SV=1;1;3.079225287;-4.011832609;0.213002274;0.777958392;1.674410218;0.57538998;-2.688290237;-0.708333153;-0.466303661;0.495480333;1.124900099;-1.698311695;0.961783994;1.59120376;-1.232008034;0.649129091335975;0.457412007868936;0.561907810867903;0;0;0;FALSE
>sp|Q9CQE8|CN166_MOUSE UPF0568 protein C14orf166 homolog OS=Mus musculus PE=1 SV=1;8;1.069778825;-1.073025887;1.042717307;0.876988532;1.507623615;1.086840856;0.653241487;-0.259788862;-0.00162353100000001;0.9598529195;1.2972322355;0.1967263125;0.9614764505;1.2988557665;0.1983498435;0.259174777486363;0.140807066749127;0.807541859177546;0;0;0;FALSE
>sp|Q8CIN4|PAK2_MOUSE Serine/threonine-protein kinase PAK 2 OS=Mus musculus GN=Pak2 PE=1 SV=1;7;0.826124327;-0.884411251;0.612651535;1.251166245;1.985174222;0.173911957;0.100442044;0.585021079;-0.029143462;0.93190889;1.0795430895;0.3427315615;0.961052352;1.1086865515;0.3718750235;0.287764259121963;0.225976472361829;0.669958168420581;0;0;0;FALSE
>sp|Q99LR1|ABD12_MOUSE Monoacylglycerol lipase ABHD12 OS=Mus musculus GN=Abhd12 PE=1 SV=2;12;-0.457802873;0.395999843;1.434583909;0.425507458;0.790237471;1.01067576;0.663652539;-0.125772655;-0.030901515;0.9300456835;0.9004566155;0.268939942;0.9609471985;0.9313581305;0.299841457;0.167731670841172;0.179506586732748;0.646324067534751;0;0;0;FALSE
>tr|Q3THL7|Q3THL7_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Vdac1 PE=2 SV=1;1;0.450947372;-0.395992073;1.056655051;0.918829705;0.217288498;-0.879087528;-0.091847225;1.038225405;0.0274776495;0.987742378;-0.330899515;0.47318909;0.9602647285;-0.3583771645;0.4457114405;0.193324297569483;0.60839766293909;0.526126289858876;0;0;0;FALSE
>sp|Q5RJI5|BRSK1_MOUSE Serine/threonine-protein kinase BRSK1 OS=Mus musculus GN=Brsk1 PE=1 SV=1;14;0.616605404;-0.575102061;0.667782298;1.290264859;0.478913363;0.266733693;-0.859396628;1.139674449;0.0207516715;0.9790235785;0.372823528;0.1401389105;0.958271907;0.3520718565;0.119387239;0.26596499158339;0.670682375656247;0.884677059819476;0;0;0;FALSE
>sp|P55821|STMN2_MOUSE Stathmin-2 OS=Mus musculus GN=Stmn2 PE=1 SV=1;4;1.44512078;-1.593172718;1.403397942;0.364067548;0.588363416;0.909519315;-0.866116383;0.303128042;-0.0740259689999999;0.883732745;0.7489413655;-0.2814941705;0.957758714;0.8229673345;-0.2074682015;0.379108637892314;0.446495866526478;0.844758294545541;0;0;0;FALSE
>sp|P80316|TCPE_MOUSE T-complex protein 1 subunit epsilon OS=Mus musculus GN=Cct5 PE=1 SV=1;21.5;0.599399639;-0.625753906;0.806469694;1.081975055;1.507647014;0.415387633;0.155237095;-0.25688003;-0.0131771335;0.9442223745;0.9615173235;-0.0508214675;0.957399508;0.974694457;-0.037644334;0.185920515209548;0.179030505160515;0.955706567913177;0;0;0;FALSE
>sp|O88983|STX8_MOUSE Syntaxin-8 OS=Mus musculus GN=Stx8 PE=1 SV=1;3;-0.022550436;-0.002659404;1.317315481;0.563839602;0.283775648;1.003233147;0.505902597;0.275723111;-0.01260492;0.9405775415;0.6435043975;0.390812854;0.9531824615;0.6561093175;0.403417774;0.125882730089557;0.271192159304323;0.486864952850718;0;0;0;FALSE
>sp|Q91V12|BACH_MOUSE Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2;15;0.42224483;-0.305206688;0.979154388;1.043556291;0.984000449;0.078600675;-1.220015553;-1.078298599;0.058519071;1.0113553395;0.531300562;-1.149157076;0.9528362685;0.472781491;-1.207676147;0.134562019030986;0.429758798408241;0.0689609149822321;0;0;0;FALSE
>sp|P20918|PLMN_MOUSE Plasminogen OS=Mus musculus GN=Plg PE=1 SV=3;1;0.298426061;-0.23091444;0.742581564;1.228085382;0.750864668;0.465617943;0.615783001;-0.879332243;0.0337558105;0.985333473;0.6082413055;-0.131774621;0.9515776625;0.574485495;-0.1655304315;0.1848799898976;0.404618607838497;0.805786759846492;0;0;0;FALSE
>sp|Q920R0|ALS2_MOUSE Alsin OS=Mus musculus GN=Als2 PE=1 SV=3;9;-1.719033172;1.397935336;1.239066344;0.341661948;-0.60627548;0.551355912;1.431517892;-0.433649095;-0.160548918;0.790364146;-0.027459784;0.4989343985;0.950913064;0.133089134;0.6594833165;0.429826905752179;0.910006218053577;0.579561737179608;0;0;0;FALSE
>tr|Q3UK94|Q3UK94_MOUSE Ubiquitin-like 4 OS=Mus musculus GN=Ubl4 PE=1 SV=1;3;0.072634989;0.030578568;0.962777269;1.041771241;0.271716512;0.700317539;1.031753456;0.914716113;0.0516067785;1.002274255;0.4860170255;0.9732347845;0.9506674765;0.434410247;0.921628006;0.0913101770449772;0.402063509634187;0.0997494067589117;0;0;0;FALSE
>sp|Q7TQG1|PKHA6_MOUSE Pleckstrin homology domain-containing family A member 6 OS=Mus musculus GN=Plekha6 PE=1 SV=1;3;-0.012753191;0.872811822;1.3534165;1.406940352;-2.437423909;1.697819822;-0.158931332;1.099387404;0.4300293155;1.380178426;-0.3698020435;0.470228036;0.9501491105;-0.799831359;0.0401987205000001;0.473773501676023;0.544314630999677;0.975358339157292;0;0;0;FALSE
>sp|Q4QY64|ATAD5_MOUSE ATPase family AAA domain-containing protein 5 OS=Mus musculus GN=Atad5 PE=1 SV=1;1;1.323228143;-1.366967116;0.670742462;1.185688193;1.179634326;1.113657357;-0.31447904;1.103736993;-0.0218694865000001;0.9282153275;1.1466458415;0.3946289765;0.950084814;1.168515328;0.416498463;0.345780278818274;0.253645042373745;0.671281555815413;0;0;0;FALSE
>sp|Q9DBB8|DHDH_MOUSE Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase OS=Mus musculus GN=Dhdh PE=1 SV=1;3;-1.052706361;1.068618798;0.7368682;1.178570059;0.265232412;1.079012506;2.114751825;0.392170231;0.00795621849999995;0.9577191295;0.672122459;1.253461028;0.949762911;0.6641662405;1.2455048095;0.32370633834712;0.482270104398967;0.206272176467508;0;0;0;FALSE
>sp|Q9CQN6|TM14C_MOUSE Transmembrane protein 14C OS=Mus musculus GN=Tmem14c PE=1 SV=1;1;-1.253414061;1.181754729;1.028667497;0.796501865;-0.923818835;-1.9818196;0.699100686;-0.957335976;-0.035829666;0.912584681;-1.4528192175;-0.129117645;0.948414347;-1.4169895515;-0.093287979;0.352345757541156;0.179888337251079;0.924755148453182;0;0;0;FALSE
>sp|Q99JR5|TINAL_MOUSE Tubulointerstitial nephritis antigen-like OS=Mus musculus GN=Tinagl1 PE=1 SV=1;4;0.129850455;-0.034488717;1.430922917;0.558251012;-0.347615462;0.463018932;0.800758264;-0.070404042;0.047680869;0.9945869645;0.057701735;0.365177111;0.9469060955;0.010020866;0.317496242;0.165996698620966;0.987427078008826;0.620749206456357;0;0;0;FALSE
>sp|P48168|GLRB_MOUSE Glycine receptor subunit beta OS=Mus musculus GN=Glrb PE=1 SV=2;1;-0.802033568;0.798477517;0.784335038;1.105644175;-0.361795464;-0.793867284;-0.402788264;-0.141781071;-0.0017780255;0.9449896065;-0.577831374;-0.2722846675;0.946767632;-0.5760533485;-0.270506642;0.189633436076462;0.406593439850975;0.691006400326105;0;0;0;FALSE
>tr|B6ZHD0|B6ZHD0_MOUSE Erythrocyte protein band 4.1-like 2 OS=Mus musculus GN=Epb41l2 PE=2 SV=1;1;0.350760886;-0.278274637;0.792167074;1.172953179;1.583952858;1.078645237;-0.66932428;0.063590869;0.0362431245;0.9825601265;1.3312990475;-0.3028667055;0.946317002;1.295055923;-0.33910983;0.135388719116894;0.0539415868910981;0.565233916136979;0;0;0;FALSE
>sp|O89112|LANC1_MOUSE LanC-like protein 1 OS=Mus musculus GN=Lancl1 PE=1 SV=1;14;0.741799779;-0.656926935;0.551362759;1.422152854;1.615070142;1.280969775;0.098257475;0.746716835;0.042436422;0.9867578065;1.4480199585;0.422487155;0.9443213845;1.4055835365;0.380050733;0.200945093897513;0.0733596738575505;0.588225671281395;0;0;0;FALSE
>tr|Q3U3D3|Q3U3D3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Vars PE=2 SV=1;2;1.025917861;-0.975208584;0.476540331;1.461257424;0.800756482;1.079529127;0.624483637;1.399040831;0.0253546385;0.9688988775;0.9401428045;1.011762234;0.943544239;0.914788166;0.9864075955;0.267928614850687;0.281550608159913;0.248652650321466;0;0;0;FALSE
>sp|P63323|RS12_MOUSE 40S ribosomal protein S12 OS=Mus musculus GN=Rps12 PE=1 SV=2;4;1.43290436;-1.4491974;0.363235727;1.505218579;1.085570503;0.710610161;-0.467493067;0.614892286;-0.00814652000000005;0.934227153;0.898090332;0.0736996095;0.942373673;0.906236852;0.0818461295000001;0.373111308899639;0.390712163572254;0.93651261088856;0;0;0;FALSE
>tr|Q5EBQ2|Q5EBQ2_MOUSE MCG7941, isoform CRA_f OS=Mus musculus GN=Pebp1 PE=1 SV=1;11;1.010107127;-1.042713769;0.481005984;1.371076948;0.264451409;-0.381191519;0.845838151;-0.722302649;-0.016303321;0.926041466;-0.058370055;0.061767751;0.942344787;-0.042066734;0.078071072;0.318430426833923;0.963136205746305;0.931657586540724;0;0;0;FALSE
>sp|O08788|DCTN1_MOUSE Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=3;43;0.162385703;-0.111633491;0.955663923;0.9762645;0.506413853;0.72736745;0.395318793;0.879703029;0.025376106;0.9659642115;0.6168906515;0.637510911;0.9405881055;0.5915145455;0.612134805;0.10020237398738;0.27332929145157;0.258356992017356;0;0;0;FALSE
>sp|Q9EPU5|TNR21_MOUSE Tumor necrosis factor receptor superfamily member 21 OS=Mus musculus GN=Tnfrsf21 PE=1 SV=2;1;-0.399933307;0.424887112;3.675009808;-1.770416532;1.583513445;1.155412502;0.038135094;0.356449704;0.0124769025;0.952296638;1.3694629735;0.197292399;0.9398197355;1.356986071;0.1848154965;0.559267438150462;0.405331198448715;0.907469853304835;0;0;0;FALSE
>sp|Q3TLS3|GDPP1_MOUSE GDP-D-glucose phosphorylase 1 OS=Mus musculus GN=Gdpgp1 PE=1 SV=2;3;-0.910187641;0.837849318;1.342605467;0.464645455;-0.222151362;0.374658893;0.010493861;1.188852167;-0.0361691615;0.903625461;0.0762537655;0.599673014;0.9397946225;0.112422927;0.6358421755;0.267670384927705;0.889660004430651;0.442370924592669;0;0;0;FALSE
>sp|Q64332|SYN2_MOUSE Synapsin-2 OS=Mus musculus GN=Syn2 PE=1 SV=2;23;1.035991206;-1.165188149;0.6124934;1.137372118;0.477608689;0.938419047;0.291814746;-0.519606639;-0.0645984715;0.874932759;0.708013868;-0.1138959465;0.9395312305;0.7726123395;-0.049297475;0.278066090358597;0.365923944755614;0.952582445153825;0;0;0;FALSE
>sp|O54941|SMCE1_MOUSE SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Mus musculus GN=Smarce1 PE=1 SV=1;2;-3.525469807;2.379053356;1.127158661;-0.395383539;0.019921589;1.098019621;1.408533044;-0.278320343;-0.5732082255;0.365887561;0.558970605;0.5651063505;0.9390957865;1.1321788305;1.138314576;0.60947867870847;0.539732819484288;0.537598088239115;0;0;0;FALSE
>sp|Q61330|CNTN2_MOUSE Contactin-2 OS=Mus musculus GN=Cntn2 PE=1 SV=2;20;-0.50922062;0.783854539;1.950278898;0.200680796;-0.048757691;-0.164861175;0.27980648;-0.320405255;0.1373169595;1.075479847;-0.106809433;-0.0202993875;0.9381628875;-0.2441263925;-0.157616347;0.256599483178261;0.757559167523391;0.841709354910292;0;0;0;FALSE
>sp|Q62245|SOS1_MOUSE Son of sevenless homolog 1 OS=Mus musculus GN=Sos1 PE=1 SV=2;2;-0.176957552;0.199629444;1.072396102;0.824503275;-0.145216397;1.668515989;0.096402253;-0.252953926;0.011335946;0.9484496885;0.761649796;-0.0782758365;0.9371137425;0.75031385;-0.0896117825;0.215294124630427;0.311721706688003;0.900167619084218;0;0;0;FALSE
>sp|P63254|CRIP1_MOUSE Cysteine-rich protein 1 OS=Mus musculus GN=Crip1 PE=1 SV=2;1;0.341281061;-0.270724243;0.671464425;1.273137903;0.847353726;0.137718395;0.440930716;0.831018089;0.035278409;0.972301164;0.4925360605;0.6359744025;0.937022755;0.4572576515;0.6006959935;0.14088806589238;0.445311450591743;0.32316409259963;0;0;0;FALSE
>sp|Q99KR7|PPIF_MOUSE Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus GN=Ppif PE=1 SV=1;6;0.920893301;-0.866407888;0.340147143;1.587430967;1.793237806;0.888359524;0.636582959;1.782338338;0.0272427065;0.963789055;1.340798665;1.2094606485;0.9365463485;1.3135559585;1.182217942;0.299994904028597;0.160131215934162;0.200375583816494;0;0;0;FALSE
>sp|Q9JMC8|E41LB_MOUSE Band 4.1-like protein 4B OS=Mus musculus GN=Epb41l4b PE=1 SV=2;1;0.352604236;-0.300040268;0.591606875;1.332428188;0.631753524;0.71131763;-0.128181484;0.808415316;0.026281984;0.9620175315;0.671535577;0.340116916;0.9357355475;0.645253593;0.313834932;0.158272016244128;0.312659399798258;0.613337424563077;0;0;0;FALSE
>sp|Q9DBS5|KLC4_MOUSE Kinesin light chain 4 OS=Mus musculus GN=Klc4 PE=1 SV=1;3;-0.295048503;0.360051269;1.209831023;0.726359321;0.341155286;0.102794906;0.212564262;-0.80303211;0.032501383;0.968095172;0.221975096;-0.295233924;0.935593789;0.189473713;-0.327735307;0.154496082306925;0.756427250198691;0.59417249493003;0;0;0;FALSE
>tr|Q543N3|Q543N3_MOUSE LIM and SH3 domain protein 1 OS=Mus musculus GN=Lasp1 PE=1 SV=1;14;1.75580323;-1.981074063;0.0409079;1.603088875;0.931634663;1.817954695;-0.723579531;-0.174630283;-0.1126354165;0.8219983875;1.374794679;-0.449104907;0.934633804;1.4874300955;-0.3364694905;0.461272771326084;0.254453065494875;0.787235824078872;0;0;0;FALSE
>sp|Q717B2|TDPZ2_MOUSE TD and POZ domain-containing protein 2 OS=Mus musculus GN=Tdpoz2 PE=2 SV=2;1;0.015777827;0.05645155;0.739745458;1.199321521;0.334919465;0.33411726;1.045113702;0.947837852;0.0361146885;0.9695334895;0.3345183625;0.996475777;0.933418801;0.298403674;0.9603610885;0.0969119931504807;0.560555770736715;0.0892941700344953;0;0;0;FALSE
>sp|Q9CQY5|MAGT1_MOUSE Magnesium transporter protein 1 OS=Mus musculus GN=Magt1 PE=1 SV=1;1;1.274183528;-1.310497327;0.562810332;1.266326031;0.946663919;0.405255782;0.28296406;-0.326123231;-0.0181568995;0.9145681815;0.6759598505;-0.0215795855;0.932725081;0.69411675;-0.00342268600000001;0.322185052892281;0.454202650943386;0.996993568286906;0;0;0;FALSE
>sp|P09103|PDIA1_MOUSE Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2;22.5;1.161675877;-0.850780352;0.85690437;1.319021228;1.181437941;0.481379929;-0.062155303;0.728660701;0.1554477625;1.087962799;0.831408935;0.333252699;0.9325150365;0.6759611725;0.1778049365;0.26623335719134;0.410475955054824;0.824613878190763;0;0;0;FALSE
>sp|Q9R0N3|SYT11_MOUSE Synaptotagmin-11 OS=Mus musculus GN=Syt11 PE=1 SV=2;1;0.343084595;-0.281598572;1.015532397;0.910757451;0.936687665;0.760961641;-0.372266241;-0.325979762;0.0307430115;0.963144924;0.848824653;-0.3491230015;0.9324019125;0.8180816415;-0.379866013;0.105664115379344;0.147452883462868;0.474940775394852;0;0;0;FALSE
>sp|Q8VBY2|KKCC1_MOUSE Calcium/calmodulin-dependent protein kinase kinase 1 OS=Mus musculus GN=Camkk1 PE=1 SV=1;10;-0.724548143;0.716444476;1.519698168;0.336776085;-0.721071802;0.222446209;1.575850643;0.332306559;-0.00405183349999999;0.9282371265;-0.2493127965;0.954078601;0.93228896;-0.245260963;0.9581304345;0.279578101344831;0.767078796833494;0.267555291321784;0;0;0;FALSE
>sp|Q60737|CSK21_MOUSE Casein kinase II subunit alpha OS=Mus musculus GN=Csnk2a1 PE=1 SV=2;13.5;-0.300573427;0.226345032;1.353921892;0.433872408;0.54347275;0.509451988;1.374645482;0.692999868;-0.0371141975;0.89389715;0.526462369;1.033822675;0.9310113475;0.5635765665;1.0709368725;0.150386893282041;0.361474265261701;0.105423198971383;0;0;0;FALSE
>sp|P23506|PIMT_MOUSE Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Mus musculus GN=Pcmt1 PE=1 SV=3;6;0.488714457;-0.465755051;0.674850374;1.20804788;0.635002497;0.59885086;-1.442805143;0.265374598;0.011479703;0.941449127;0.6169266785;-0.5887152725;0.929969424;0.6054469755;-0.6001949755;0.233182172542783;0.42403656594238;0.42788514781502;0;0;0;FALSE
>sp|P97333|NRP1_MOUSE Neuropilin-1 OS=Mus musculus GN=Nrp1 PE=1 SV=2;1;-0.279915942;0.340661848;1.10545235;0.814897643;0.717649932;1.73633004;1.994496295;-0.033421674;0.030372953;0.9601749965;1.226989986;0.9805373105;0.9298020435;1.196617033;0.9501643575;0.273569505877112;0.169860091254701;0.264079256048352;0;0;0;FALSE
>tr|Q6GT24|Q6GT24_MOUSE Peroxiredoxin 6 OS=Mus musculus GN=Prdx6 PE=1 SV=1;5;0.89085671;-0.893273537;0.88675621;0.967674122;0.282007251;-0.153939597;-1.338692818;0.275332534;-0.00120841350000001;0.927215166;0.064033827;-0.531680142;0.9284235795;0.0652422405;-0.5304717285;0.2831635010377;0.937257026274141;0.528159540640478;0;0;0;FALSE
>sp|P47964|RL36_MOUSE 60S ribosomal protein L36 OS=Mus musculus GN=Rpl36 PE=3 SV=2;2;0.514309067;-0.305731242;1.118043588;0.947346562;0.324434672;0.199205622;0.162485684;0.417799977;0.1042889125;1.032695075;0.261820147;0.2901428305;0.9284061625;0.1575312345;0.185853918;0.120696210963047;0.773646874014925;0.734674250008722;0;0;0;FALSE
>sp|Q9CQX0|OTUB2_MOUSE Ubiquitin thioesterase OTUB2 OS=Mus musculus GN=Otub2 PE=1 SV=1;1;-1.094516389;1.046470021;1.40683564;0.400382787;0.191077332;0.378129113;0.696276426;0.340839874;-0.024023184;0.9036092135;0.2846032225;0.51855815;0.9276323975;0.3086264065;0.542581334;0.278023600042591;0.707526796582289;0.513987929675188;0;0;0;FALSE
>sp|Q60900|ELAV3_MOUSE ELAV-like protein 3 OS=Mus musculus GN=Elavl3 PE=1 SV=1;8;0.389300299;0.3841801;1.517924353;1.110644248;0.483420679;0.216908585;-0.835603164;0.245176872;0.3867401995;1.3142843005;0.350164632;-0.295213146;0.927544101;-0.0365755675;-0.6819533455;0.14484423495313;0.950330411654295;0.267281045259946;0;0;0;FALSE
>sp|P70404|IDHG1_MOUSE Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus GN=Idh3g PE=1 SV=1;7.5;1.052861519;-0.903673942;1.248104252;0.750905644;0.24395843;-0.330764429;0.300439663;-1.184231495;0.0745937885;0.999504948;-0.0434029995;-0.441895916;0.9249111595;-0.117996788;-0.5164897045;0.299478692825788;0.890478062877805;0.551649499999203;0;0;0;FALSE
>sp|Q9CXS4|CENPV_MOUSE Centromere protein V OS=Mus musculus GN=Cenpv PE=1 SV=2;11;0.0692842;0.001422374;0.80460838;1.113554325;0.461460112;0.701958339;1.32771124;1.097006618;0.035353287;0.9590813525;0.5817092255;1.212358929;0.9237280655;0.5463559385;1.177005642;0.099347177713173;0.299172686118147;0.0458733569429974;0;0;0;FALSE
>sp|Q62093|SRSF2_MOUSE Serine/arginine-rich splicing factor 2 OS=Mus musculus GN=Srsf2 PE=1 SV=4;5;1.059245204;-1.028375752;0.654174778;1.223930902;0.098894634;-0.4000591;-0.175903703;-0.080759762;0.015434726;0.93905284;-0.150582233;-0.1283317325;0.923618114;-0.166016959;-0.1437664585;0.259002874368069;0.831762004083516;0.853977319019169;0;0;0;FALSE
>sp|P28659|CELF1_MOUSE CUGBP Elav-like family member 1 OS=Mus musculus GN=Celf1 PE=1 SV=2;4;0.989342644;-0.92267088;0.834571676;1.077993345;0.374248498;1.821940667;1.141018906;1.748458097;0.033335882;0.9562825105;1.0980945825;1.4447385015;0.9229466285;1.0647587005;1.4114026195;0.290446792380647;0.228488506136546;0.123421832193513;0;0;0;FALSE
>sp|P27600|GNA12_MOUSE Guanine nucleotide-binding protein subunit alpha-12 OS=Mus musculus GN=Gna12 PE=1 SV=3;1;0.685911695;-0.64425109;0.458255318;1.428487454;1.823054562;0.244671539;-0.534870604;-0.711458142;0.0208303025;0.943371386;1.0338630505;-0.623164373;0.9225410835;1.013032748;-0.6439946755;0.26719171568381;0.227094707327719;0.428158795067272;0;0;0;FALSE
>sp|Q99N93|RM16_MOUSE 39S ribosomal protein L16, mitochondrial OS=Mus musculus GN=Mrpl16 PE=1 SV=1;1;-1.185621841;1.125989052;1.912590197;-0.127174938;-1.520555416;-0.869716576;-0.22535167;-1.678908491;-0.0298163945;0.8927076295;-1.195135996;-0.9521300805;0.922524024;-1.1653196015;-0.922313686;0.39978784433058;0.294585143207512;0.39988988982252;0;0;0;FALSE
>sp|Q62028|PLA2R_MOUSE Secretory phospholipase A2 receptor OS=Mus musculus GN=Pla2r1 PE=1 SV=1;1;-0.170652723;0.233199081;1.510107788;0.393719574;-0.108439565;-0.087772923;-0.692938867;-0.293267584;0.031273179;0.951913681;-0.098106244;-0.4931032255;0.920640502;-0.129379423;-0.5243764045;0.153596819553102;0.82884871152236;0.392998942262815;0;0;0;FALSE
>tr|I6L9D3|I6L9D3_MOUSE Pctk2 protein OS=Mus musculus GN=Cdk17 PE=2 SV=1;1;-0.530035082;0.562678573;0.866825703;1.005823808;0.255373342;0.384684678;-0.064327282;-0.518529659;0.0163217455;0.9363247555;0.32002901;-0.2914284705;0.92000301;0.3037072645;-0.307750216;0.14885725407461;0.60961545856968;0.60495489750524;0;0;0;FALSE
>tr|A2RS23|A2RS23_MOUSE Peptidase D OS=Mus musculus GN=Pepd PE=1 SV=1;9;-0.689673925;0.697766906;1.032137293;0.815280313;-0.189564165;-0.367487738;0.629562319;-0.146266006;0.0040464905;0.923708803;-0.2785259515;0.2416481565;0.9196623125;-0.282572442;0.237601666;0.190710708832015;0.670170637029785;0.719723040468099;0;0;0;FALSE
>sp|P42225|STAT1_MOUSE Signal transducer and activator of transcription 1 OS=Mus musculus GN=Stat1 PE=1 SV=1;3;-2.103501037;1.882206981;1.689099649;-0.072586208;-1.005074498;-0.423038614;0.646214735;-0.971000626;-0.110647028;0.8082567205;-0.714056556;-0.1623929455;0.9189037485;-0.603409528;-0.0517459175;0.509398675917763;0.661969304068181;0.969882306897013;0;0;0;FALSE
>tr|Q4FK11|Q4FK11_MOUSE Nono protein OS=Mus musculus GN=Nono PE=2 SV=1;10;-0.003013635;-0.067408193;0.96131647;0.803745775;0.375339752;-0.318261538;0.17224972;0.731956965;-0.035210914;0.8825311225;0.028539107;0.4521033425;0.9177420365;0.063750021;0.4873142565;0.125964371333369;0.907577115599321;0.387808531441538;0;0;0;FALSE
>tr|Q3UVV3|Q3UVV3_MOUSE Putative uncharacterized protein OS=Mus musculus GN=Omg PE=2 SV=1;9;0.828574387;-0.796962678;0.792797333;1.072185523;1.283112159;0.806925439;1.209151513;1.66195735;0.0158058545;0.932491428;1.045018799;1.4355544315;0.9166855735;1.0292129445;1.419748577;0.209955855478316;0.164991916339005;0.0694409712729239;0;0;0;FALSE
